Brand,Title,Price,Size,Reviews,Stars,Category,Colors 
SEPHORA COLLECTION,express cleansing wipes,$9.00,25,789 reviews,4.2015,Skin Care>Face Wash & Cleanser>,10  Express Cleansing Wipes |20  Express Cleansing & Exfoliating Wipes |20  Express Cleansing & Purifying Wipes|25  Express Cleansing Wipes
bareMinerals,tapered shadow brush,$14.00,,45 reviews,4.3111,Makeup>Eye Makeup>Eye Brushes>,
Dr. Jart+,bb bounce beauty balm,$48.00,0.4 oz,34 reviews,3.7647,Makeup>Face Makeup>BB Cream & CC Cream>,01 Light-Medium|02 Medium-Dark
Blinc,eyebrow mousse,$24.00,0.14 oz,122 reviews,4.3689,Makeup>Eye Makeup>Eyebrows>,Auburn|Black|Clear|Dark Blonde|Dark Brunette|Grey|Light Blonde|Light Brunette|Medium Blonde
SEPHORA COLLECTION,swoon lip gloss pick up artist,$12.00,,36 reviews,4.4444,Makeup>Lips>Lip Gloss>,
Dolce & Gabbana,perfect mono cream eye colour,$37.00,0.14 oz,17 reviews,3.9412,Makeup>Eye Makeup>Eyeshadow>,Amore|Bronze |Cocoa|Coffee|Dahlia|Desert|Elegance|Gold Dust|Indaco|Innocence|Lava|Leo Brown|Nude |Sage|Stromboli|Zambia Beige
surratt beauty,automatique lip crayon,$34.00,0.04 oz,10 reviews,3.9,Makeup>Lips>Lipstick>,A La Mode|Alluring|Birthday Suit|Celestine|Clementine|Deep In Vogue|Fuchsine|Gentillesse|In the Buff|In the Flesh|Mahogany|Megalomane|P.O.C.|Savoir Faire|Scantilly Clad|Seductrice|Shocking|Stark Naked|Valentine
Josie Maran,live color fully argan oil collection,$38.00,,1 review,2.0,Makeup>Palettes & Value Sets>Value Sets>,
BECCA,ultimate coverage concealing creme,$32.00,0.16 oz,77 reviews,4.1948,Makeup>Face Makeup>Concealer>,Banana|Brulee|Butterscotch|Chestnut|Coffee|Honeycomb|Macadamia|Praline|Syrup|Tahini|Toffee|Treacle
KEVYN AUCOIN,face forward,$21.99,,7 reviews,3.8571,Makeup>Face Makeup>Contour>,
Dior,fusion mono eyeshadow,$31.00,0.22 oz,152 reviews,4.4342,Makeup>Eye Makeup>Eyeshadow>,001 Lune|091 Nocturne|381 Millenium|621 Mirror|641 Fantaisie|661 M&#233;t&#233;ore|761 Mirage|821 Chim&#233;re|881 Hypnotique
tarte,rule bender double ended bamboo eyeshadow brush,$28.00,,5 reviews,2.4,Makeup>Eye Makeup>Eye Brushes>,
